Timestamp,src_ip,src_port,dest_ip,dest_port,bytes in,bytes out
1554191664,10.1.5.4,25863,9.153.137.122,3128,7860,99583
1554191666,10.1.5.6,26399,126.88.137.255,443,1884,16330
1554191667,10.1.5.200,26935,224.156.29.200,3128,1551,17091
1554191670,10.1.5.17,27471,121.22.229.251,161,2699,25315
1554191672,10.1.5.21,28007,243.214.171.217,443,4888,83958
1554191674,10.1.5.4,28543,184.249.137.127,3128,14310,56123
1554191679,10.1.5.8,29079,254.183.87.120,20,11096,40035
1554191681,10.1.5.20,29615,226.249.93.47,443,14170,32924
1554191686,10.1.5.10,30151,72.228.164.234,3128,248,52859
1554191687,10.1.5.12,31223,91.46.46.131,20,11806,86733
1554191691,10.1.5.18,30687,44.11.207.99,443,12877,35120
1554191692,10.1.5.200,31759,157.61.26.168,3128,5915,93159
1554191696,10.1.5.101,32295,124.16.61.14,3128,13313,99612
1554191702,10.1.5.10,32831,201.52.29.134,161,1279,76957
1554191702,10.1.5.14,33367,165.177.150.153,443,563,97277
1554191710,10.1.5.7,33903,65.248.183.43,161,237,33262
1554191718,10.1.5.9,34439,7.134.82.148,443,6486,25189
1554191721,10.1.5.201,34975,76.214.172.16,161,4344,81901
1554191725,10.1.5.8,35511,128.226.152.2,443,4094,123337
1554191733,10.1.5.202,36047,112.163.232.141,161,18236,73079
1554191736,10.1.5.13,37119,197.168.242.19,161,18774,99942
1554191739,10.1.5.18,36583,36.121.133.213,161,14406,71325
1554191750,10.1.5.200,37655,78.153.157.29,20,2829,105916
1554191754,10.1.5.21,38191,255.2.36.51,20,7430,112762
1554191761,10.1.5.6,38727,98.223.56.226,3128,18560,105888
1554191764,10.1.5.9,39263,65.121.111.247,161,15608,104838
1554191766,10.1.5.13,40335,244.184.16.172,161,4332,105746
1554191767,10.1.5.6,39799,37.113.236.176,20,12901,84443
1554191768,10.1.5.10,41407,171.123.126.93,443,10107,107488
1554191770,10.1.5.14,40871,89.78.105.212,161,15414,23886
1554191776,10.1.5.15,41943,209.70.11.224,20,3374,75319
1554191780,10.1.5.202,42479,223.28.14.219,161,19771,40373
1554191783,10.1.5.20,43015,145.174.36.43,161,15092,82941
1554191784,10.1.5.2,43551,201.94.173.197,161,13188,59122
1554191793,10.1.5.200,44087,44.178.231.243,20,1939,10924
1554191800,10.1.5.9,44623,200.130.44.221,20,3756,67560
1554191808,10.1.5.20,45695,5.88.224.18,161,6777,71884
1554191809,10.1.5.11,45159,222.53.235.205,3128,7953,46286
1554191813,10.1.5.5,46231,236.70.206.217,443,3627,46009
1554191813,10.1.5.100,46767,205.95.220.32,161,4716,35991
1554191818,10.1.5.19,47303,3.160.193.246,3128,1471,36479
1554191819,10.1.5.20,47839,128.118.61.5,3128,3854,56375
1554191836,10.1.5.10,48375,222.235.79.151,443,17532,107964
1554191842,10.1.5.100,48911,113.184.40.174,3128,10880,79986
1554191846,10.1.5.200,49447,163.90.33.129,443,4104,34004
1554191848,10.1.5.4,49983,251.42.123.151,3128,11721,73507
1554191851,10.1.5.19,50519,109.191.120.72,443,13595,118938
1554191853,10.1.5.3,51591,240.232.214.52,161,18800,113783
1554191855,10.1.5.6,51055,205.136.21.90,443,2420,89813
1554191857,10.1.5.11,52127,137.144.26.253,443,14993,21694
1554191859,10.1.5.3,52663,168.113.151.107,443,2576,22164
1554191870,10.1.5.10,54271,219.226.192.135,443,13268,63991
1554191871,10.1.5.5,53199,222.109.204.240,3128,14519,95649
1554191873,10.1.5.21,53735,236.22.5.216,20,17124,50603
1554191877,10.1.5.14,55343,80.78.203.120,3128,819,45758
1554191879,10.1.5.19,54807,25.6.144.154,161,1275,52040
1554191883,10.1.5.8,55879,86.141.105.98,161,5095,39111
1554191890,10.1.5.101,56951,218.56.180.65,3128,15952,27951
1554191893,10.1.5.16,56415,112.32.171.172,443,1869,83287
1554191894,10.1.5.13,57487,162.191.186.53,20,10476,49763
1554191901,10.1.5.19,58023,90.98.217.156,3128,16764,19239
1554191911,10.1.5.201,58559,81.6.253.157,20,1647,86287
1554191914,10.1.5.15,59095,42.115.5.102,20,2108,9200
1554191917,10.1.5.15,17288,232.205.137.25,443,13719,122522
1554191919,10.1.5.3,17287,164.172.94.233,20,16112,111804
1554191923,10.1.5.16,17291,193.31.207.94,161,17896,111087
1554191924,10.1.5.10,17292,91.1.227.232,443,19203,72177
1554191926,10.1.5.18,17289,78.75.19.23,161,4053,41633
1554191928,10.1.5.201,17293,132.148.67.193,161,5498,48511
1554191932,10.1.5.5,17295,3.126.107.48,3128,6631,33490
1554191944,10.1.5.7,17296,243.8.106.127,161,2930,90082
1554191944,10.1.5.101,17297,10.103.16.1,443,14677,65374
1554191951,10.1.5.13,17299,237.188.94.31,3128,10815,1757
1554191953,10.1.5.201,17300,253.202.113.93,161,15824,6030
1554191959,10.1.5.201,17301,39.200.158.182,20,18861,28104
1554191960,10.1.5.11,17303,75.76.149.85,3128,2850,988
1554191966,10.1.5.14,17304,11.135.237.14,3128,5161,17329
1554191972,10.1.5.21,17305,76.83.121.11,161,7232,54431
1554191974,10.1.5.100,17308,83.78.45.17,161,404,30483
1554191976,10.1.5.7,17307,164.155.178.68,161,1478,10157
1554191981,10.1.5.13,17309,68.36.65.217,20,6591,81952
1554191986,10.1.5.16,17312,24.63.25.173,161,1760,34557
1554191988,10.1.5.101,17311,188.23.82.249,161,13997,78137
1554192001,10.1.5.5,17313,40.130.243.73,443,12577,104758
1554192014,10.1.5.101,17316,54.43.123.50,3128,7688,86406
1554192014,10.1.5.3,17317,130.178.35.87,3128,1092,12492
1554192017,10.1.5.201,17315,136.238.229.30,3128,13195,81136
1554192025,10.1.5.201,17319,136.82.118.226,443,10985,51588
1554192026,10.1.5.12,17320,144.131.58.208,20,18221,50527
1554192031,10.1.5.6,17321,63.105.150.217,20,1232,106492
1554192039,10.1.5.4,17323,129.193.51.220,3128,15024,30254
1554192041,10.1.5.11,17324,149.124.109.140,20,17754,73941
1554192050,10.1.5.201,17325,99.146.162.146,3128,11341,93695
1554192054,10.1.5.21,17329,21.114.86.57,20,9420,59625
1554192055,10.1.5.11,17327,80.235.108.131,20,313,79384
1554192056,10.1.5.101,17331,141.197.15.228,3128,2032,20824
1554192059,10.1.5.20,17328,25.82.227.235,3128,8634,40849
1554192063,10.1.5.12,17332,234.95.210.221,3128,334,46173
1554192065,10.1.5.3,17333,142.135.155.216,161,8030,90441
1554192079,10.1.5.7,17335,202.241.148.134,3128,4111,86318
1554192084,10.1.5.19,17336,52.133.241.22,443,9557,22333
1554192085,10.1.5.15,17337,103.105.121.13,20,5366,107663
1554192086,10.1.5.100,17339,74.215.195.192,443,13135,77693
1554192096,10.1.5.11,17340,23.177.55.205,443,14711,64628
1554192101,10.1.5.202,17341,17.116.51.74,161,12425,6884
1554192103,10.1.5.3,17343,193.68.24.91,161,18359,7740
1554192105,10.1.5.15,17344,94.234.17.37,20,15901,66447
1554192106,10.1.5.8,17345,195.194.165.178,161,17743,50573
1554192118,10.1.5.11,17347,91.141.153.212,20,4248,18639
1554192126,10.1.5.201,17348,252.2.95.232,3128,12919,79455
1554192129,10.1.5.14,17349,45.208.183.249,3128,13851,39761
1554192132,10.1.5.10,17351,66.101.144.155,3128,11989,8244
1554192138,10.1.5.12,17353,102.72.161.131,443,626,78936
1554192140,10.1.5.8,17352,104.252.91.137,20,11161,70578
1554192142,10.1.5.202,17356,169.150.99.198,3128,11218,67781
1554192145,10.1.5.12,17355,14.59.113.207,3128,16092,100808
1554192151,10.1.5.19,17357,25.199.225.75,3128,11264,66450
1554192157,10.1.5.7,17360,109.244.231.18,443,6895,119490
1554192158,10.1.5.20,17359,34.82.92.3,443,12471,63796
1554192173,10.1.5.16,17361,218.192.104.211,3128,893,109405
1554192173,10.1.5.5,17363,165.121.77.75,161,7257,97678
1554192179,10.1.5.18,17364,188.16.48.210,3128,11923,19441
1554192185,10.1.5.9,17365,217.135.91.137,161,3727,83874
1554192185,10.1.5.3,17367,182.219.238.142,443,18492,16122
1554192190,10.1.5.15,17368,199.100.60.92,443,11977,64599
1554192191,10.1.5.20,17369,188.158.23.135,443,12553,56173
1554192202,10.1.5.100,17371,228.11.201.91,443,18797,60224
1554192202,10.1.5.16,17372,47.208.247.23,443,13754,114294
1554192205,10.1.5.12,17373,106.56.111.33,3128,2233,37448
1554192209,10.1.5.3,17375,200.209.155.3,161,407,14373
1554192215,10.1.5.202,17376,76.120.180.185,20,2680,46653
1554192217,10.1.5.15,17377,15.148.71.193,443,10171,73555
1554192218,10.1.5.12,17379,218.207.249.82,20,19735,38354
1554192228,10.1.5.19,17380,37.128.102.127,3128,17784,115307
1554192228,10.1.5.4,17381,91.7.190.125,161,12195,43364
1554192233,10.1.5.2,17383,217.170.248.140,161,1545,4842
1554192233,10.1.5.201,17384,226.142.45.34,161,8274,120333
1554192236,10.1.5.2,17385,64.137.115.34,161,11365,59931
1554192242,10.1.5.18,17388,46.75.44.150,443,19889,68301
1554192244,10.1.5.19,17387,218.93.146.161,161,8274,1583
1554192248,10.1.5.201,17389,183.216.210.131,3128,4357,74578
1554192254,10.1.5.7,17391,187.125.26.73,3128,17326,117739
1554192255,10.1.5.4,17392,7.172.162.41,161,2406,88928
1554192261,10.1.5.11,17395,0.159.136.106,161,10410,49250
1554192262,10.1.5.8,17393,23.205.143.55,3128,12001,50069
1554192267,10.1.5.13,17396,72.193.156.174,443,7682,84838
1554192271,10.1.5.15,17397,10.45.153.206,20,12641,20153
1554192277,10.1.5.21,17399,182.113.142.9,3128,12196,123990
1554192281,10.1.5.8,17400,182.5.187.203,20,16881,108361
1554192285,10.1.5.100,17401,137.147.178.68,443,2995,103372
1554192289,10.1.5.17,17404,172.154.183.175,3128,14991,121576
1554192290,10.1.5.2,17405,56.97.74.228,20,1752,77701
1554192291,10.1.5.6,17403,160.29.46.160,20,17066,62544
1554192297,10.1.5.3,17407,231.136.112.189,20,6841,84292
1554192313,10.1.5.19,17408,176.170.163.208,161,19364,60095
1554192317,10.1.5.202,17409,172.152.54.27,161,6893,95153
1554192318,10.1.5.5,17411,39.236.98.233,20,855,65076
1554192323,10.1.5.8,17412,255.123.111.209,20,16649,16360
1554192331,10.1.5.21,17413,179.169.103.245,3128,738,100015
1554192342,10.1.5.2,17415,161.228.80.170,3128,1450,77244
1554192343,10.1.5.13,17416,70.131.69.215,161,10128,115278
1554192347,10.1.5.101,17417,238.37.253.210,443,7516,76008
1554192355,10.1.5.10,17419,128.138.108.230,161,4977,46816
1554192361,10.1.5.19,17420,65.36.5.199,443,15369,106471
1554192366,10.1.5.21,17421,114.67.235.200,443,15953,47850
1554192367,10.1.5.3,17423,143.241.115.234,20,17011,71992
1554192369,10.1.5.8,17424,139.89.1.94,443,8314,90352
1554192370,10.1.5.201,17425,81.181.77.244,20,9829,42842
1554192379,10.1.5.13,17427,65.176.185.240,161,19811,69471
1554192381,10.1.5.20,17428,49.229.180.14,443,7392,9076
1554192387,10.1.5.18,17431,186.100.102.54,161,9499,7801
1554192389,10.1.5.4,17429,155.209.101.90,161,2311,104564
1554192392,10.1.5.11,17432,186.155.170.2,20,3748,84766
1554192395,10.1.5.101,17433,11.17.13.37,3128,18102,38391
1554192398,10.1.5.10,17435,97.5.156.82,443,11266,13470
1554192400,10.1.5.3,17436,201.188.62.149,20,12069,35839
1554192408,10.1.5.13,17437,242.70.103.172,443,16396,90203
1554192411,10.1.5.4,17439,25.57.230.214,20,2834,70499
1554192411,10.1.5.10,17440,49.108.26.92,161,17119,54996
1554192419,10.1.5.6,17441,240.133.146.132,20,4921,76759
1554192420,10.1.5.12,17444,212.85.37.66,3128,10791,10816
1554192421,10.1.5.18,17443,230.86.199.205,3128,3579,79232
1554192422,10.1.5.13,17445,44.253.173.185,3128,7581,1012
1554192422,10.1.5.100,17447,138.9.13.88,20,15665,75505
1554192429,10.1.5.18,17448,200.114.157.212,161,17517,96776
1554192432,10.1.5.2,17449,244.189.6.113,161,9165,19909
1554192437,10.1.5.16,17451,243.196.51.91,20,12922,47225
1554192440,10.1.5.16,17452,93.117.7.171,3128,9350,50627
1554192446,10.1.5.11,17453,213.217.35.220,443,10776,89584
1554192452,10.1.5.18,17456,14.17.38.166,161,12595,45244
1554192453,10.1.5.15,17455,142.231.9.145,3128,15013,121785
1554192455,10.1.5.4,17457,133.93.42.134,443,10724,49878
1554192459,10.1.5.6,17459,147.212.228.189,161,543,97919
1554192466,10.1.5.201,17460,110.242.158.217,161,10946,18852
1554192470,10.1.5.200,17461,182.94.68.98,3128,18106,88686
1554192470,10.1.5.3,17463,132.185.61.29,443,13074,111217
1554192476,10.1.5.18,17464,162.232.185.232,161,5721,33479
1554192480,10.1.5.8,17467,208.116.244.8,20,4333,104930
1554192481,10.1.5.6,17465,238.78.7.2,3128,9415,71451
1554192491,10.1.5.100,17469,90.71.114.52,20,8474,9988
1554192494,10.1.5.10,17468,140.82.2.234,161,12301,15872
1554192498,10.1.5.200,17472,24.13.197.253,161,13153,650
1554192499,10.1.5.20,17471,156.249.97.162,20,17363,91735
1554192525,10.1.5.101,17473,34.50.148.117,20,11148,119361
1554192525,10.1.5.7,17475,145.20.9.46,161,10296,35243
1554192540,10.1.5.2,17479,26.188.166.29,3128,7975,75645
1554192541,10.1.5.2,17476,163.59.109.62,3128,15734,63607
1554192542,10.1.5.18,17477,41.140.204.54,161,14764,54404
1554192542,10.1.5.20,17480,124.199.122.250,161,8048,112964
1554192548,10.1.5.201,17481,254.138.152.180,20,5526,4702
1554192550,10.1.5.10,17483,153.247.194.170,443,17767,97076
1554192555,10.1.5.18,17484,26.128.210.19,443,10899,91208
1554192566,10.1.5.202,17485,56.156.23.3,20,9858,61183
1554192568,10.1.5.6,17487,40.248.8.196,3128,5757,37464
1554192579,10.1.5.5,17489,35.194.253.93,3128,5741,27983
1554192580,10.1.5.8,17491,95.165.147.14,161,8572,7208
1554192581,10.1.5.202,17488,62.185.125.199,443,10204,71546
1554192588,10.1.5.8,17492,87.78.104.148,3128,15217,24833
1554192588,10.1.5.10,17493,116.188.202.79,161,2163,5452
1554192592,10.1.5.7,17495,137.33.114.208,3128,3974,7802
1554192597,10.1.5.13,17496,122.210.252.206,161,12751,62647
1554192605,10.1.5.2,17497,241.109.123.40,20,4343,104849
1554192606,10.1.5.20,17499,168.39.4.120,3128,10951,87606
1554192612,10.1.5.17,17500,96.187.179.52,3128,6854,110386
1554192617,10.1.5.12,17501,167.34.230.62,443,5810,55367
1554192621,10.1.5.8,17503,18.163.32.34,161,17583,80641
1554192622,10.1.5.10,17507,68.166.172.254,161,14156,20715
1554192623,10.1.5.202,17504,76.98.220.155,3128,4794,108435
1554192625,10.1.5.17,17505,95.151.52.67,20,17090,110301
1554192628,10.1.5.10,17508,192.122.27.69,161,4062,94417
1554192633,10.1.5.14,17511,101.41.247.252,3128,983,43205
1554192635,10.1.5.8,17509,93.43.132.242,3128,4488,106354
1554192635,10.1.5.201,17512,3.145.30.96,443,13930,23527
1554192649,10.1.5.12,17513,22.150.226.227,443,19150,35635
1554192658,10.1.5.7,17516,219.178.214.245,443,166,110861
1554192659,10.1.5.3,17515,0.150.0.186,3128,8280,112123
1554192662,10.1.5.10,17517,113.148.9.246,443,12733,120655
1554192666,10.1.5.13,17519,172.133.130.82,161,18340,48176
1554192668,10.1.5.21,17520,157.162.202.204,161,1348,19461
1554192672,10.1.5.101,17523,119.100.115.113,20,11726,31960
1554192673,10.1.5.7,17521,121.89.221.58,161,10687,38739
1554192675,10.1.5.14,17524,77.157.189.9,3128,5131,52862
1554192685,10.1.5.100,17525,69.240.156.202,161,1751,72533
1554192696,10.1.5.4,17527,205.151.185.12,3128,3415,13017
1554192698,10.1.5.6,17528,135.144.237.147,161,10840,88105
1554192704,10.1.5.13,17529,91.38.91.51,3128,7211,62599
1554192706,10.1.5.4,17532,58.136.29.45,3128,19666,7059
1554192707,10.1.5.12,17531,112.154.7.102,3128,11860,98056
1554192713,10.1.5.13,17533,92.255.81.178,3128,18195,31123
1554192716,10.1.5.15,17536,200.19.102.227,443,13497,15730
1554192718,10.1.5.9,17535,147.63.28.185,3128,2694,118991
1554192726,10.1.5.4,17537,146.177.250.212,20,12309,99928
1554192740,10.1.5.100,17539,177.58.144.248,443,12724,24502
1554192743,10.1.5.13,17541,9.160.80.176,161,15136,20712
1554192744,10.1.5.101,17543,15.5.230.183,161,9408,8748
1554192745,10.1.5.2,17540,134.9.192.181,443,13800,11543
1554192758,10.1.5.202,17544,232.63.182.204,20,11829,17620
1554192764,10.1.5.5,17548,98.57.24.60,161,18490,81712
1554192767,10.1.5.15,17545,104.27.30.22,3128,19400,95615
1554192767,10.1.5.5,17549,159.208.132.77,161,638,11354
1554192768,10.1.5.5,17547,39.254.62.4,443,14391,100150
1554192772,10.1.5.8,17551,44.51.72.51,161,16499,5915
1554192780,10.1.5.2,17553,105.48.238.235,20,10295,79836
1554192780,10.1.5.6,17555,246.21.238.145,3128,19528,65315
1554192781,10.1.5.12,17552,147.117.11.74,3128,14718,15227
1554192782,10.1.5.14,17556,186.134.146.170,3128,7381,54209
1554192784,10.1.5.202,17557,118.85.102.90,3128,7918,13852
1554192797,10.1.5.201,17559,70.170.232.138,20,602,64515
1554192807,10.1.5.17,17560,83.74.231.197,20,12964,55593
1554192807,10.1.5.16,17561,243.51.232.102,20,16225,77372
1554192810,10.1.5.201,17564,102.254.74.227,161,18533,2871
1554192812,10.1.5.200,17563,189.68.148.132,443,10452,67334
1554192821,10.1.5.9,17565,165.194.201.7,161,14124,120866
1554192823,10.1.5.13,17567,156.248.232.12,443,13521,59587
1554192826,10.1.5.15,17568,228.196.240.236,161,3903,21103
1554192834,10.1.5.8,17569,158.189.205.13,443,17254,69003
1554192834,10.1.5.202,17571,204.197.138.134,20,13669,115591
1554192837,10.1.5.21,17572,235.202.166.72,443,12956,120877
1554192844,10.1.5.15,17573,84.229.188.0,161,5199,98368
1554192849,10.1.5.14,17575,9.11.194.202,3128,12832,86967
1554192852,10.1.5.7,17576,202.104.172.135,161,14017,30059
1554192852,10.1.5.2,17577,255.196.57.148,443,7103,106995
1554192855,10.1.5.21,17579,11.153.4.238,443,18960,50203
1554192863,10.1.5.2,17580,159.246.61.118,161,3712,63561
1554192866,10.1.5.202,17581,29.81.55.104,443,14438,85044
1554192867,10.1.5.10,17583,139.20.247.247,161,7846,84279
1554192869,10.1.5.16,17584,144.140.104.153,20,5744,20926
1554192870,10.1.5.100,17585,7.82.127.10,3128,14464,51587
1554192884,10.1.5.7,17587,106.75.222.136,20,7992,58954
1554192888,10.1.5.6,17588,98.127.4.84,20,7603,86127
1554192892,10.1.5.202,17591,238.54.47.236,20,2225,94671
1554192893,10.1.5.15,17589,126.103.7.170,20,8786,46560
1554192897,10.1.5.12,17592,140.129.7.200,443,15126,22706
1554192899,10.1.5.12,17593,209.243.248.145,20,2456,68569
1554192907,10.1.5.4,17595,104.137.95.211,3128,16364,7261
1554192908,10.1.5.200,17596,12.240.112.127,3128,1078,19350
1554192910,10.1.5.202,17597,9.147.129.217,443,3438,44239
1554192912,10.1.5.13,17599,169.95.220.180,20,5843,25469
1554192917,10.1.5.20,17600,205.0.150.65,3128,13563,3441
1554192919,10.1.5.9,17601,58.124.254.133,443,6421,32946
1554192928,10.1.5.16,17603,248.14.6.107,443,6856,45005
1554192931,10.1.5.18,17604,33.58.174.224,3128,14246,74473
1554192937,10.1.5.16,17605,210.160.75.101,161,5067,92731
1554192941,10.1.5.7,17607,31.48.154.195,20,15065,9009
1554192949,10.1.5.11,17608,134.83.235.2,161,16612,36493
1554192953,10.1.5.3,17609,98.69.157.137,161,5452,2635
1554192961,10.1.5.21,17611,55.211.166.194,20,5731,14812
1554192963,10.1.5.18,17612,216.245.125.29,20,5098,43002
1554192966,10.1.5.9,17613,151.202.15.35,443,11099,74004
1554192969,10.1.5.10,17615,233.86.244.101,443,12940,48275
1554192973,10.1.5.8,17616,188.171.172.22,20,15681,90087
1554192974,10.1.5.17,17617,139.38.12.69,161,12025,113921
1554192981,10.1.5.9,17619,105.245.220.183,161,1919,110346
1554192986,10.1.5.8,17620,177.100.152.20,3128,17605,57751
1554192994,10.1.5.8,17621,172.86.72.40,161,1871,63335
1554193000,10.1.5.8,17623,245.130.155.240,161,9824,45517
1554193006,10.1.5.16,17625,219.175.185.209,20,13598,116031
1554193007,10.1.5.201,17624,226.206.8.211,161,18854,122231
1554193007,10.1.5.14,17628,33.116.191.205,3128,8170,49066
1554193008,10.1.5.101,17627,3.84.32.175,20,18684,90421
1554193008,10.1.5.17,17629,36.85.15.251,3128,15427,28143
1554193014,10.1.5.201,17631,200.118.7.151,20,18757,103207
1554193025,10.1.5.14,17633,192.95.224.42,20,6034,105488
1554193029,10.1.5.3,17632,54.233.220.225,3128,6471,54851
1554193034,10.1.5.5,17635,89.219.88.32,443,8937,37928
1554193039,10.1.5.3,17636,46.100.66.166,20,14717,34545
1554193040,10.1.5.18,17637,117.219.45.3,3128,7203,118137
1554193047,10.1.5.21,17639,69.238.244.207,20,8534,125620
1554193047,10.1.5.9,17640,16.129.131.99,20,13320,56351
1554193051,10.1.5.201,17641,240.59.147.52,3128,19922,26903
1554193053,10.1.5.13,17643,93.69.113.188,443,1575,89253
1554193064,10.1.5.15,17644,113.177.9.124,3128,5756,97709
1554193078,10.1.5.7,17645,150.88.228.186,443,4499,111192
1554193082,10.1.5.14,17647,26.14.42.80,20,13367,90608
1554193090,10.1.5.12,17648,222.250.235.62,3128,8261,64197
1554193094,10.1.5.14,17649,87.86.251.35,3128,15006,104516
1554193095,10.1.5.19,17651,244.209.221.29,161,1097,21778
1554193100,10.1.5.4,17652,134.221.79.53,161,12162,77245
1554193101,10.1.5.6,17653,132.86.241.190,161,17754,111549
1554193104,10.1.5.19,17655,156.20.177.146,3128,3751,81932
1554193109,10.1.5.21,17656,113.214.251.29,3128,16538,8907
1554193113,10.1.5.12,17657,50.197.188.31,3128,16337,70513
1554193118,10.1.5.13,17659,174.144.224.127,3128,12887,30099
1554193118,10.1.5.15,17660,7.25.78.13,161,15707,53302
1554193118,10.1.5.12,17661,139.34.127.238,161,13452,123023
1554193120,10.1.5.4,17663,23.196.103.154,3128,15632,34584
1554193125,10.1.5.6,17664,160.124.107.40,443,5426,115607
1554193127,10.1.5.9,17665,137.8.39.198,443,5871,107219
1554193132,10.1.5.15,17667,177.89.250.203,161,6241,2437
1554193132,10.1.5.2,17669,139.145.168.160,3128,9018,64920
1554193133,10.1.5.6,17668,5.86.239.33,20,10297,1901
1554193142,10.1.5.202,17671,16.219.121.42,161,314,99018
1554193144,10.1.5.19,17672,117.100.40.143,3128,9149,70653
1554193144,10.1.5.16,17673,125.230.35.42,3128,4502,63810
1554193151,10.1.5.15,17675,198.180.91.191,3128,14810,42746
1554193153,10.1.5.3,17676,179.173.157.156,3128,5555,19521
1554193161,10.1.5.5,17677,130.201.19.93,20,2530,36323
1554193167,10.1.5.17,17679,190.248.130.35,161,11526,57145
1554193167,10.1.5.6,17680,87.128.124.84,161,19070,87163
1554193167,10.1.5.20,17681,84.171.113.147,3128,8499,103322
1554193174,10.1.5.11,17683,114.48.184.26,161,9046,59864
1554193177,10.1.5.18,17684,195.251.103.94,443,8207,43067
1554193185,10.1.5.7,17685,146.93.15.175,3128,8663,95055
1554193185,10.1.5.15,17687,181.230.233.98,443,4099,14157
1554193185,10.1.5.19,17688,211.23.10.247,161,13735,38376
1554193190,10.1.5.6,17691,213.75.82.4,161,4300,116582
1554193194,10.1.5.12,17689,113.119.100.195,20,16627,116043
1554193197,10.1.5.2,17692,174.109.242.28,3128,4228,48641
